#mag	emag	col	    ecol
19.62	0.01	2.46	0.02
20.01	0.01	2.40	0.02
20.60	0.01	2.42	0.02
19.46	0.01	2.48	0.02
19.07	0.00	2.58	0.02
19.12	0.00	2.53	0.02
19.96	0.01	2.46	0.01
19.95	0.01	2.44	0.01
19.84	0.01	2.38	0.01
20.35	0.01	2.39	0.02
20.90	0.01	2.41	0.03
20.97	0.01	2.43	0.03
21.68	0.02	2.26	0.05
20.83	0.01	2.32	0.02
20.27	0.01	2.37	0.02
20.34	0.01	2.52	0.02
21.15	0.01	2.48	0.03
21.13	0.01	2.39	0.03
21.27	0.01	2.34	0.03
20.86	0.01	2.38	0.03
20.93	0.01	2.30	0.03
21.20	0.01	2.33	0.03
21.20	0.01	2.33	0.03
22.12	0.02	2.31	0.05
21.95	0.01	2.36	0.04
21.61	0.01	2.44	0.04
21.11	0.01	2.51	0.03
21.27	0.01	2.27	0.03
22.08	0.01	2.35	0.05
22.18	0.01	2.46	0.05
22.85	0.03	2.32	0.09
21.19	0.01	2.48	0.03
22.17	0.02	2.51	0.06
22.64	0.04	2.37	0.07
22.78	0.03	2.23	0.07
22.27	0.02	2.42	0.05
22.92	0.03	2.36	0.09
21.23	0.01	2.44	0.03
21.99	0.02	2.26	0.05
22.68	0.02	2.25	0.07
22.57	0.03	2.20	0.08
22.38	0.02	2.21	0.06
22.45	0.02	2.26	0.06
22.10	0.01	2.24	0.04
21.56	0.01	2.38	0.03
21.50	0.01	2.26	0.04
22.90	0.03	2.10	0.09
22.59	0.02	2.57	0.08
